,label,text
3051,ham,Ok
545,ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
736,ham,Then why no one talking to me
937,ham,"Since when, which side, any fever, any vomitin."
3613,ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
5259,ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
2709,ham,"Nah, I'm a perpetual DD"
3253,ham,Come to medical college at 7pm ......forward it da
1397,ham,Shall i start from hear.
189,ham,Have you got Xmas radio times. If not i will get it now
2094,spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
1622,ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
4358,ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
5173,ham,U 2.
3619,ham,Hey check it da. I have listed da.
1388,ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
3686,ham,Wake me up at  &lt;#&gt;  am morning:)
2448,ham,Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...
5140,ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
5550,ham,"Cool, what time you think you can get here?"
3220,ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
925,ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
5361,ham,Yep get with the program. You're slacking.
4021,ham,University of southern california.
4364,ham,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)"
2385,ham,"Sorry, I'll call later"
1482,ham,"I'm a guy, browsin is compulsory"
3498,ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served"
4701,spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
3152,ham,Yeah but which is worse for i
980,ham,Another month. I need chocolate weed and alcohol.
3496,spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
3241,ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""...."
3625,ham,No message..no responce..what happend?
2484,ham,Mm have some kanji dont eat anything heavy ok
3980,ham,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
4127,spam,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
4971,ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
4267,ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
3305,ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
1796,ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
5132,ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; 
2392,ham,PICK UR FONE UP NOW U DUMB?
994,ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
5023,ham,Yes its possible but dint try. Pls dont tell to any one k
5120,spam,PRIVATE! Your 2003 Account Statement for 078
1266,ham,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
3530,spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
2426,ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
1461,ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
1686,ham,Cramps stopped. Going back to sleep
1374,spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
5521,ham,You are a big chic. Common. Declare
3515,ham,I always chat with you. In fact i need money can you raise me?
4490,ham,The new deus ex game comin early next yr
4868,ham,Okey dokey swashbuckling stuff what oh.
1680,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
2704,ham,Yup no more already... Thanx 4 printing n handing it up.
3764,ham,K.i will send in  &lt;#&gt;  min:)
5466,spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
2236,ham,"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx"
5349,ham,I'm home...
2935,ham,Yup n her fren lor. I'm meeting my fren at 730.
215,ham,Sounds great! Are you home now?
2618,ham,I cant pick the phone right now. Pls send a message
2212,ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
3314,ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
791,ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
1283,ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
3706,ham,Ok. Very good. Its all about making that money.
3363,ham,No messages on her phone. I'm holding it now
2048,ham,No de. But call me after some time. Ill tell you k
2929,ham,Anything...
2153,ham,Hi kindly give us back our documents which we submitted for loan from STAPATI
919,ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 
396,ham,From here after The performance award is calculated every two month.not for current one month period..
3452,ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
2946,ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
1242,ham,"I want to show you the world, princess :) how about europe?"
1743,ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
649,ham,No prob. I will send to your email.
5289,ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
1895,spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
4072,ham,I've reached home n i bathe liao... U can call me now...
1561,ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
2883,ham,Hi Harish's rent has been transfred to ur Acnt.
3719,ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
4916,ham,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! 
2913,ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
4909,ham,"I'm in solihull, | do you want anything?"
5303,ham,"I can. But it will tell quite long, cos i haven't finish my film yet..."
1712,ham,I got your back! Do you have any dislikes in bed?
3328,ham, what number do u live at? Is it 11?
1817,ham,Are you going to write ccna exam this week??
650,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
1507,spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
302,ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
2706,ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
212,ham,Home so we can always chat
730,ham,Dunno y u ask me.
1946,ham,Can ü call me at 10:10 to make sure dat i've woken up...
1377,ham,Auntie huai juan never pick up her phone
563,ham,Geeeee ... I love you so much I can barely stand it
2037,ham,You can jot down things you want to remember later.
1142,spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
2357,ham,No..he joined today itself.
755,ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?! 
2534,ham,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.
5336,ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
4231,ham,And several to you sir.
2889,ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
721,ham,Oh is it? Send me the address
2281,ham,R ü comin back for dinner?
2036,ham,Simply sitting and watching match in office..
1113,ham,So that means you still think of teju
4061,spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!"
4838,ham,....photoshop makes my computer shut down.
3042,ham,Aight what time you want me to come up?
4743,ham,Ya very nice. . .be ready on thursday
296,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
5467,spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
1420,ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
5541,ham,Yeah it's jus rite...
3711,ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT
150,ham,Sindu got job in birla soft ..
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
3364,ham,Can... I'm free...
448,ham,I wont get concentration dear you know you are my mind and everything :-)
5543,ham,U still havent got urself a jacket ah?
3788,ham,WHORE YOU ARE UNBELIEVABLE.
3390,ham,O. Guess they both got screwd
5183,ham,"Fuuuuck I need to stop sleepin, sup"
4197,ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
286,ham,"K, I might come by tonight then if my class lets out early"
1727,ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
5301,ham,At WHAT TIME should i come tomorrow
3938,ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
2320,ham,In which place do you want da.
3650,ham,Hmm ill have to think about it... ok you're forgiven! =D
43,ham,WHO ARE YOU SEEING?
2323,ham,Should I be stalking u?
1551,ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
854,ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
2768,ham,Wow v v impressed. Have funs shopping!
3728,ham,"Aldrine, rakhesh ex RTM here.pls call.urgent."
892,ham,I am great princess! What are you thinking about me? :)
1655,ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
289,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
4342,ham,Ü all write or wat..
4661,ham,You call him and tell now infront of them. Call him now.
5000,ham,"Hmph. Go head, big baller."
4049,ham,Lol or I could just starve and lose a pound by the end of the day.
348,ham,One small prestige problem now.
4706,ham,Hey anyway i have to :-)
834,ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
2632,spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
84,ham,Yup next stop.
5452,ham,What???? Hello wats talks email address?
4453,ham,I've told you everything will stop. Just dont let her get dehydrated.
434,ham,Booked ticket for pongal?
4456,ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
1804,ham,I'm in class. Did you get my text.
2332,ham,At home by the way
4222,ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
3284,ham,Hey tmr maybe can meet you at yck
4601,ham,Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing 
1494,ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
4628,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
2258,ham,Here got lots of hair dresser fr china.
5373,ham,"K I'll head out in a few mins, see you there"
2879,spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
4958,ham,I'm vivek:)i got call from your number.
4296,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
3684,ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
1541,ham,K come to nordstrom when you're done
2297,spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
2203,ham,"(And my man carlos is definitely coming by mu tonight, no excuses)"
3188,ham,Howz that persons story
2069,ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
2529,ham,jay says he'll put in  &lt;#&gt;
4796,ham,Saw Guys and Dolls last night with Patrick Swayze it was great
194,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
3168,ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
1073,spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
1412,ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
195,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
991,ham,26th OF JULY
1906,ham,"There're some people by mu, I'm at the table by lambda"
5088,ham,I wont do anything de.
3209,ham,Oops my phone died and I didn't even know. Yeah I like it better.
4618,ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
3216,ham,I want snow. It's just freezing and windy.
4840,ham,That's one of the issues but california is okay. No snow so its manageable
211,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
2786,ham,Yeah get the unlimited
1962,ham,LOL that would be awesome payback.
1755,ham,How is your schedule next week? I am out of town this weekend.
2128,ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
5165,ham,Ü still got lessons?  Ü in sch?
2677,ham,* Am on a train back from northampton so i'm afraid not!
1968,ham,Even i cant close my eyes you are in me our vava playing umma :-D
5298,ham,I.ll hand her my phone to chat wit u
3989,ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
2627,ham,Unni thank you dear for the recharge..Rakhesh
2725,ham,Nope... C ü then...
2006,ham,Can't take any major roles in community outreach. You rock mel
525,spam,"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
3566,ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
1602,ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
2615,ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
5515,ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
3773,ham,Does uncle timi help in clearing cars
4911,ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE
5254,ham,I didnt get anything da
2650,ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
1267,ham,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
2860,ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
2780,ham,Well I might not come then...
3377,ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
2184,ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
1490,ham,Ok i juz receive..
3418,ham,But i haf enuff space got like 4 mb...
3172,ham,Still otside le..u come 2morrow maga..
3709,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
4450,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
2363,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
761,spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply."
2076,ham,Must come later.. I normally bathe him in da afternoon mah..
1886,ham,I think asking for a gym is the excuse for lazy people. I jog.
45,ham,No calls..messages..missed calls
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
2569,ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
4778,ham,Sorry completely forgot * will pop em round this week if your still here?
5228,spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
3528,ham,Should i send you naughty pix? :)
1302,ham,I tot u reach liao. He said t-shirt.
3959,ham,So i could kiss and feel you next to me...
4892,ham,Its worse if if uses half way then stops. Its better for him to complete it.
1385,ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
3922,ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""
5205,spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
4082,ham,Hurry home. Soup is DONE!
2455,ham,Left dessert. U wan me 2 go suntec look 4 u?
4348,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
5098,spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
3775,ham,Ok... But bag again..
3855,ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
2092,ham,Then get some cash together and I'll text jason
642,ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
4317,ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
3633,ham,Oooh I got plenty of those!
2976,ham,"Don't worry, * is easy once have ingredients!"
3962,ham,Your dad is back in ph?
74,ham,U can call me now...
1010,ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
4416,ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
4794,ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
2471,ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...
4431,ham,Yar lor... How u noe? U used dat route too?
2259,ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
3061,ham,K..k...from tomorrow onwards started ah?
717,spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
3720,spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
